2019-08-02 09:23:27.824 logback [main] INFO  com.jindi.land.LandApplication - Starting LandApplication on localhost with PID 18496 (/Users/mac/work/source/idea/java1.8/landCraw/target/classes started by mac in /Users/mac/work/source/idea/java1.8/landCraw)
2019-08-02 09:23:27.826 logback [main] INFO  com.jindi.land.LandApplication - The following profiles are active: dev
2019-08-02 09:23:27.884 logback [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3e6ef8ad: startup date [Fri Aug 02 09:23:27 CST 2019]; root of context hierarchy
2019-08-02 09:23:28.301 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-08-02 09:23:28.566 logback [main] INFO  com.jindi.service.ProxyService - proxyFetchURL: http://39.106.165.35:8001/tydaili
2019-08-02 09:23:28.568 logback [main] INFO  com.jindi.service.ProxyService - fetchNewProxyInterval: 60000
2019-08-02 09:23:28.568 logback [Timer-0] INFO  com.jindi.service.ProxyService - fetchNewProxy...
2019-08-02 09:23:28.568 logback [Timer-0] INFO  com.jindi.service.ProxyService - [*] proxyFetchURL http://39.106.165.35:8001/tydaili
2019-08-02 09:23:28.985 logback [Timer-0] INFO  com.jindi.proxy.ProxyPool - proxy pool size>>>>1257
2019-08-02 09:23:29.308 logback [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-08-02 09:23:29.338 logback [main] INFO  com.jindi.land.LandApplication - Started LandApplication in 2.111 seconds (JVM running for 2.658)
2019-08-02 09:23:34.748 logback [pool-3-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.748 logback [pool-3-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.748 logback [pool-4-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:34.763 logback [pool-2-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.764 logback [pool-3-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.781 logback [pool-5-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.786 logback [pool-4-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:34.804 logback [pool-2-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.839 logback [pool-4-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:34.854 logback [pool-2-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.854 logback [pool-4-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:34.859 logback [pool-2-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:34.859 logback [pool-3-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
